Cape clawless otter
Azara's zorro
Asiatic wild ass
Feathertail glider
Striped skunk
White-throated robin
"Gazelle, grant's"
African black crake
Madagascar fruit bat
"Snake, buttermilk"
"Stork, greater adjutant"
Yellow-bellied marmot
"Raven, white-necked"
Roseat flamingo
Leopard
"Pelican, great white"
African lynx
"Crane, brolga"
"Deer, mule"
"Gull, herring"
"Lynx, african"
Bengal vulture
Gray duiker
Four-spotted skimmer
Carpet python
"Dog, bush"
Burmese brown mountain tortoise
"Wallaby, dama"
North American porcupine
Blue-breasted cordon bleu
"Cat, cape wild"
"Jackal, silver-backed"
Nine-banded armadillo
"Pheasant, common"
Asiatic jackal
Silver-backed fox
Feral rock pigeon
"Hartebeest, red"
"Wallaby, bennett's"
"Antelope, roan"
Southern screamer
"Gull, pacific"
"Cat, jungle"
"Fox, savanna"
"Hedgehog, south african"
"Devil, tasmanian"
"Wolf, common"
Pygmy possum
Indian jackal
Woodchuck
Monitor lizard (unidentified)
Nile crocodile
"Macaque, japanese"
"Hyena, spotted"
African jacana
Tiger cat
"Woodpecker, downy"
"Macaw, green-winged"
Pied avocet
Galapagos sea lion
"Lorikeet, scaly-breasted"
"Gazer, sun"
Tiger
Rufous-collared sparrow
"Kangaroo, eastern grey"
Mocking cliffchat
South American sea lion
"Vulture, king"
House sparrow
"Tern, white-winged"
"Crane, brolga"
"Vulture, white-headed"
Red-tailed phascogale
"Curlew, black"
Red brocket
"Egret, snowy"
"Skua, long-tailed"
"Lynx, african"
"Lion, california sea"
"Pelican, eastern white"
"Otter, giant"
"Sheathbill, snowy"
Blesbok
"Flicker, campo"
Northern elephant seal
White-fronted bee-eater
Caracara (unidentified)
"Fox, arctic"
White rhinoceros
"Cardinal, red-capped"
Sage hen
Baleen whale
Gila monster
"Penguin, galapagos"
"Reedbuck, bohor"
Red-breasted nuthatch
"Stork, saddle-billed"
Pacific gull
Barrows goldeneye
Eastern indigo snake
Burrowing owl
"Partridge, coqui"
"Bat, madagascar fruit"
"Robin, kalahari scrub"
"Lion, asian"
Large-eared bushbaby
Bird (unidentified)
"Colobus, magistrate black"
Pine snake (unidentified)
"Rhea, common"
Tiger cat
"Eland, common"
"Bat, madagascar fruit"
Brown hyena
Tokay gecko
Black kite
"Racer, american"
"Jackal, asiatic"
Netted rock dragon
"Penguin, galapagos"
"Shelduck, common"
Cape fox
African black crake
"Bat, madagascar fruit"
Butterfly (unidentified)
"Skink, african"
"Flamingo, chilean"
"Wallaby, tammar"
Carmine bee-eater
"Catfish, blue"
"Cobra, cape"
Two-toed sloth
"Cormorant, king"
"Plover, blacksmith"
Goanna lizard
Tiger snake
"Jackrabbit, white-tailed"
Puma
Black-eyed bulbul
Scottish highland cow
Blue catfish
Common melba finch
"Lion, steller sea"
Black-eyed bulbul
"Starfish, crown of thorns"
Asian false vampire bat
"Lion, asian"
Oriental white-backed vulture
Long-nosed bandicoot
"Turkey, wild"
"Tern, white-winged"
Land iguana
Butterfly (unidentified)
"Badger, honey"
"Glider, feathertail"
"Bustard, denham's"
Oriental white-backed vulture
"Starling, cape"
"Buffalo, wild water"
African ground squirrel (unidentified)
Leadbeateri's ground hornbill
Old world fruit bat (unidentified)
Lizard (unidentified)
Red howler monkey
"Skink, african"
Kalahari scrub robin
"Crow, house"
Great egret
"Penguin, little blue"
Indian porcupine
Toddy cat
"Starling, cape"
"Cockatoo, red-breasted"
Savanna baboon
Downy woodpecker
Russian dragonfly
"Sheep, stone"
Serval
"Antechinus, brown"
River wallaby
Fringe-eared oryx
"Elk, Wapiti"
"Buffalo, wild water"
"Tortoise, asian foreset"
"Monkey, vervet"
Brown brocket
White-faced tree rat
"Cat, european wild"
African clawless otter
"Elk, Wapiti"
"Crane, sarus"
Gerenuk
Tyrant flycatcher
"Rhinoceros, black"
White-cheeked pintail
Red and blue macaw
Blue fox
White-rumped vulture
Reindeer
"Magpie, black-backed"
Reindeer
Red-shouldered glossy starling
Lappet-faced vulture
Snake (unidentified)
"Beaver, eurasian"
"Wolf, timber"
Mallard
"Pie, rufous tree"
Gray rhea
"Macaque, rhesus"
"Lemming, collared"
Spotted wood sandpiper
Ground legaan
Common raccoon
Bobcat
Grey heron
"Ass, asiatic wild"
"Tamandua, southern"
Red-tailed wambenger
Chacma baboon
Black kite
African lynx
Black-crowned night heron
"Armadillo, nine-banded"
Greater rhea
"Skimmer, four-spotted"
"Quoll, spotted-tailed"
"Dove, emerald-spotted wood"
"Armadillo, nine-banded"
Mudskipper (unidentified)
"Constrictor, eastern boa"
Alpaca
"Bear, sloth"
White-browed owl
"Tern, white-winged black"
Vicuna
"Turtle, long-necked"
Ornate rock dragon
Thomson's gazelle
Sportive lemur
Four-striped grass mouse
Hudsonian godwit
"Trumpeter, dark-winged"
Oribi
Desert tortoise
"Glider, squirrel"
Brush-tailed bettong
Euro wallaby
"Gecko, bent-toed"
"Jackal, indian"
"Possum, western pygmy"
Southern elephant seal
"Sparrow, rufous-collared"
Burrowing owl
"Whale, southern right"
"Crane, brolga"
"Thrasher, curve-billed"
Common wolf
Whip-tailed wallaby
"Shrike, common boubou"
"Rhea, gray"
"Gazelle, grant's"
American buffalo
"Waxbill, black-cheeked"
Thomson's gazelle
Javanese cormorant
"Weaver, white-browed sparrow"
Little brown bat
"Antelope, sable"
"Heron, green-backed"
Lappet-faced vulture
"Eagle, crowned"
Burmese brown mountain tortoise
Desert tortoise
Wood pigeon
"Oryx, fringe-eared"
White-throated toucan
"Squirrel, palm"
Goliath heron
"Tortoise, radiated"
Four-horned antelope
Scottish highland cow
Adouri (unidentified)
Gerenuk
"Duiker, common"
Nilgai
Beisa oryx
"Fox, cape"
"Deer, black-tailed"
"Trumpeter, green-winged"
"Echidna, short-beaked"
Red-cheeked cordon bleu
Savanna fox
"Polecat, african"
"Otter, north american river"
"Zorro, azara's"
"Deer, red"
Sage grouse
Timber wolf
Eagle owl (unidentified)
Grey heron
Australian brush turkey
"Bird, black-throated butcher"
Tawny eagle
"Gnu, brindled"
Common mynah
"Rattlesnake, dusky"
Paddy heron (unidentified)
"Roadrunner, greater"
"Pheasant, common"
"Wallaby, dama"
Nine-banded armadillo
Crimson-breasted shrike
Little grebe
Gulls (unidentified)
Blue shark
Long-tailed jaeger
"Fox, cape"
"Pigeon, wood"
"Fox, asian red"
"Spoonbill, european"
Nile crocodile
Common turkey
Eastern grey kangaroo
Cook's tree boa
"Hartebeest, red"
Brown hyena
"Bulbul, african red-eyed"
Barrows goldeneye
Mountain lion
"Loris, slender"
Musk ox
White-throated robin
"Egret, cattle"
"Squirrel, indian giant"
Frog (unidentified)
White stork
"Bee-eater, white-fronted"
Gray heron
"Nighthawk, common"
"Gull, lava"
"Tapir, brazilian"
"Crake, african black"
"Tortoise, desert"
Common raccoon
Stanley crane
Violet-crested turaco
"Vulture, white-rumped"
"Oryx, beisa"
"Armadillo, common long-nosed"
Sockeye salmon
Richardson's ground squirrel
Red kangaroo
"Cat, miner's"
Praying mantis (unidentified)
"Dragon, komodo"
Common dolphin
"Starfish, crown of thorns"
Cape raven
Red-necked phalarope
Tailless tenrec
"Bison, american"
"Eagle, crowned"
Feathertail glider
Black-faced kangaroo
"Hawk, red-tailed"
"Crow, pied"
"Heron, yellow-crowned night"
Kelp gull
Netted rock dragon
House crow
"Possum, ring-tailed"
Pig-tailed macaque
Greater flamingo
Indian star tortoise
"Francolin, coqui"
Galapagos tortoise
White-tailed jackrabbit
Superb starling
"Iguana, land"
Koala
"Macaw, blue and yellow"
Indian mynah
Black-tailed prairie dog
Sacred ibis
"Egret, snowy"
"Possum, common brushtail"
Galapagos penguin
Asian elephant
"Otter, african clawless"
"Spider, wolf"
"Crab, sally lightfoot"
"Booby, blue-footed"
White-cheeked pintail
"Iguana, marine"
Common goldeneye
"Snake, racer"
Large cormorant
"Hartebeest, coke's"
White-nosed coatimundi
"Hedgehog, south african"
Painted stork
Horned lark
White-throated toucan
"Cat, african wild"
"Barbet, levaillant's"
White-winged black tern
"Badger, eurasian"
Silver gull
Orca
"Teal, hottentot"
Great skua
Dingo
Kafue flats lechwe
"Deer, black-tailed"
Levaillant's barbet
White-browed sparrow weaver
Indian mynah
"Cockatoo, red-breasted"
White spoonbill
"Avocet, pied"
"Lemur, sportive"
"Squirrel, grey-footed"
"Bird, bare-faced go away"
Ibex
Lappet-faced vulture
"Anteater, australian spiny"
Puna ibis
Llama
Snowy owl
"Quail, gambel's"
"Phalarope, grey"
"Cardinal, red-capped"
European shelduck
"Wallaby, euro"
Long-tailed jaeger
"Monkey, rhesus"
Emerald-spotted wood dove
European beaver
"Flycatcher, tyrant"
"Goose, knob-nosed"
"Elephant, asian"
"Oystercatcher, blackish"
"Bear, grizzly"
Malabar squirrel
Pacific gull
Four-striped grass mouse
Openbill stork
"Jackal, silver-backed"
"Quoll, eastern"
"Bird, pied butcher"
"Gecko, bent-toed"
Mountain duck
"Heron, grey"
"Shelduck, european"
Common genet
"Rhinoceros, square-lipped"
Hoffman's sloth
Argalis
"Bat, asian false vampire"
"Monkey, rhesus"
"Grouse, sage"
"Starling, cape"
"Pademelon, red-legged"
Mexican beaded lizard
Guanaco
"Hornbill, red-billed"
"Roadrunner, greater"
"Pelican, brown"
African wild dog
South American meadowlark (unidentified)
"Owl, white-browed"
"Flicker, campo"
Eastern fox squirrel
Golden jackal
Spotted hyena
Great egret
"Lion, african"
Eastern grey kangaroo
Weeper capuchin
Tyrant flycatcher
Gerbil (unidentified)
"Siskin, yellow-rumped"
American bison
"Eagle, bateleur"
Pine snake (unidentified)
"Moccasin, water"
"Bandicoot, southern brown"
Nubian bee-eater
American buffalo
"Lizard, goanna"
Reindeer
Mexican boa
Gaur
"Wagtail, african pied"
"Squirrel, malabar"
Southern lapwing
Asian water buffalo
Uinta ground squirrel
"Goose, cereopsis"
Meerkat
Gray langur
Ground monitor (unidentified)
"Squirrel, nelson ground"
Warthog
Nelson ground squirrel
"Rattlesnake, horned"
Snowy egret
Arctic fox
"Lemur, brown"
Cape cobra
Blue catfish
Wolf spider
"Possum, western pygmy"
Asian foreset tortoise
"Phalarope, red"
Lava gull
Black-eyed bulbul
Carpet snake
Long-crested hawk eagle
Lesser masked weaver
Common goldeneye
Galapagos hawk
"Skunk, western spotted"
Kafue flats lechwe
"Kangaroo, brush-tailed rat"
Frilled lizard
Green-winged macaw
Ring-necked pheasant
"Weaver, sociable"
"Skink, african"
Genoveva
Cape starling
Eastern grey kangaroo
Warthog
"Oryx, fringe-eared"
Green-winged trumpeter
Eastern diamondback rattlesnake
"Cardinal, black-throated"
"Cormorant, neotropic"
Malagasy ground boa
Greater rhea
Yellow baboon
"Zorro, common"
Pampa gray fox
Indian peacock
